"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.4801469	0.1711564	0.7652165	0.0543518	0.0262425	0.1428980	0.3732695	0.1642384	0.0500030	0.0305695	0.2186457	0.7900999	0.0597482	0.3352523	0.7150472	0.0071025	0.0543342	0.3205606	0.1193450	0.4011610
50	0.4328584	0.1824980	0.7214069	0.0453826	0.0517740	0.0310654	0.4107654	0.2147081	0.0595502	0.0160301	0.2832933	0.6970867	0.0596105	0.2384326	0.7917155	0.0034625	0.0484540	0.2717800	0.1088420	0.7404241
100	0.4767710	0.1076452	0.7044586	0.0458837	0.0518463	0.0348311	0.3444015	0.2016680	0.0445195	0.0443322	0.2927929	0.8719235	0.0216565	0.1526252	0.7898378	0.0077999	0.0780293	0.3468507	0.0902078	0.7330987
150	0.5175049	0.0889399	0.6497142	0.0206433	0.0369390	0.0510424	0.3324504	0.2060225	0.0529508	0.0563066	0.3534367	0.6732069	0.0375318	0.1099816	0.7980970	0.0070441	0.0436846	0.2728612	0.0426390	0.7787654
200	0.4843906	0.1450391	0.7905341	0.0528339	0.0189750	0.0201085	0.2434328	0.2923181	0.0480900	0.0171115	0.3356064	0.6784516	0.0436241	0.1235535	0.6135269	0.0081119	0.0865147	0.2143359	0.0303572	0.7585752
250	0.4131786	0.1260911	0.8549144	0.0511125	0.0380043	0.0193326	0.1377273	0.2304335	0.0693101	0.0225955	0.2710040	0.7069007	0.0446809	0.1093663	0.7022908	0.0075759	0.0807546	0.1668610	0.0377058	0.6966245
300	0.3254196	0.0967185	0.7514442	0.0430235	0.0153472	0.0344680	0.1122621	0.3049535	0.1012727	0.0131150	0.1687049	0.6459349	0.0296403	0.0664995	0.7478226	0.0038044	0.0509366	0.2166205	0.0285575	0.7750219
350	0.3592564	0.1115238	0.6517873	0.0321879	0.0045697	0.0248753	0.1184045	0.1658559	0.0676327	0.0289564	0.2130691	0.6510334	0.0208958	0.0883973	0.7137123	0.0038151	0.0751157	0.1083448	0.0118251	0.8072443
400	0.2599347	0.1632844	0.8512391	0.0150071	0.0046562	0.0182595	0.0942763	0.1512570	0.0412396	0.0149272	0.2477294	0.5425745	0.0508218	0.0576140	0.7648185	0.0042968	0.0542238	0.1061327	0.0213070	0.6343483
450	0.3387025	0.1434316	0.7423724	0.0199252	0.0140488	0.0147561	0.0411358	0.2724369	0.0436394	0.0248612	0.1991664	0.6472356	0.0321160	0.0573928	0.7170167	0.0108839	0.0352642	0.1217137	0.0175266	0.7267198
500	0.3547326	0.1300964	0.6711015	0.0144976	0.0241639	0.0192590	0.0810997	0.2459080	0.0480728	0.0312929	0.2082142	0.6200203	0.0316475	0.1026377	0.6807367	0.0013790	0.0472784	0.1513671	0.0377512	0.7460503
550	0.4116358	0.0923612	0.7832155	0.0336062	0.0151937	0.0401963	0.2097207	0.1786410	0.0561059	0.0356939	0.1587515	0.6694160	0.0278336	0.2443104	0.6197441	0.0093479	0.0324842	0.1854581	0.0565386	0.4192298
600	0.5343102	0.2066516	0.6740442	0.1054679	0.0302475	0.0150421	0.2853870	0.2005951	0.0470557	0.0247827	0.3121713	0.7316705	0.1113867	0.2381612	0.7308291	0.0125502	0.1079212	0.3026384	0.0295128	0.3347389
650	0.5148946	0.1409221	0.7121784	0.0398304	0.0120961	0.0453552	0.2825782	0.1598110	0.0603855	0.0144571	0.3114613	0.7413600	0.0297390	0.2683280	0.6591608	0.0025086	0.0402097	0.2565464	0.0666522	0.3961721
