"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.7628915	0.2327702	1.0039061	0.0381786	0.0356773	0.1122188	0.5354378	0.1984908	0.0766189	0.0307291	0.3595031	1.0098059	0.0589613	0.4610052	1.0573701	0.0081375	0.1001330	0.4658085	0.0990883	0.5873644
50	0.6404731	0.2339623	1.0357485	0.0363819	0.0363300	0.0624313	0.6184869	0.3156758	0.0877937	0.0225429	0.3801099	1.0004907	0.0572778	0.2998101	1.0784702	0.0048641	0.0862980	0.3978509	0.0989644	0.9537315
100	0.6781202	0.1602536	0.9901550	0.0582453	0.0363218	0.0567970	0.5218855	0.3275494	0.0810313	0.0474864	0.3865116	1.0196731	0.0560473	0.2210267	1.0343986	0.0068902	0.1042278	0.4560954	0.0925953	0.9995986
150	0.5667319	0.1466221	1.0289765	0.0424319	0.0359237	0.0810457	0.4379616	0.3168167	0.0660387	0.0507453	0.3881187	0.9717476	0.0601822	0.1466659	0.9930980	0.0141711	0.0747628	0.4367611	0.0590858	1.0050417
200	0.5890912	0.1956089	0.9399019	0.0406623	0.0338923	0.0439537	0.2545213	0.3573445	0.0597381	0.0248898	0.3763715	0.9422087	0.0545741	0.1348492	0.9524526	0.0110419	0.1137298	0.3291353	0.0435828	1.0789632
250	0.5511427	0.1731848	0.9301584	0.0521838	0.0364179	0.0367187	0.1958812	0.3295777	0.0792887	0.0246487	0.3876847	0.9657390	0.0527446	0.1291667	0.9818195	0.0105521	0.0896555	0.2634065	0.0521858	0.9834669
300	0.5481869	0.1504021	1.0345604	0.0419298	0.0337789	0.0183982	0.1730971	0.3281526	0.0761447	0.0221670	0.2929797	0.9961945	0.0397934	0.1239004	1.0222371	0.0078087	0.1036234	0.2720046	0.0427653	0.9433466
350	0.4855751	0.1664367	1.0411505	0.0445768	0.0118944	0.0241740	0.1397705	0.2899748	0.0720365	0.0335012	0.2992167	0.8867681	0.0427370	0.1119351	1.0538874	0.0094721	0.0963827	0.1757846	0.0256947	1.0167036
400	0.4081367	0.1854515	1.0099360	0.0220346	0.0120631	0.0248611	0.1164815	0.3065756	0.0645099	0.0240890	0.2954831	0.9012314	0.0432339	0.0965884	1.0093352	0.0069947	0.0731989	0.1522372	0.0272191	1.0078953
450	0.4848861	0.1477598	0.9894267	0.0287884	0.0171295	0.0209718	0.0764549	0.3728481	0.0718562	0.0319993	0.2731342	0.9167323	0.0496721	0.0792567	0.9443837	0.0113930	0.0596383	0.1543098	0.0312469	0.9945028
500	0.5081930	0.1842753	0.9596838	0.0227614	0.0124827	0.0244155	0.1247612	0.3501447	0.0642402	0.0315284	0.2931466	0.9182065	0.0291293	0.1276839	0.9327654	0.0033138	0.0622158	0.1697658	0.0449390	0.9149898
