"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.7372260	0.2451787	1.0000000	0.0510387	0.0384055	0.1005268	0.6563023	0.2265897	0.0873101	0.0317461	0.3881839	0.9967848	0.0618466	0.4434562	0.9998960	0.0076538	0.1095260	0.5083448	0.0853844	0.5677264
50	0.7222264	0.2110647	1.0000000	0.0510386	0.0372577	0.0968799	0.6402498	0.3047683	0.0853470	0.0317434	0.3876032	0.9966063	0.0617327	0.2826230	0.9999426	0.0076353	0.1063062	0.4947582	0.0832060	0.9291225
100	0.6825480	0.1987390	1.0000000	0.0510386	0.0339636	0.0847387	0.5774810	0.3338430	0.0805126	0.0317367	0.3831125	0.9958287	0.0613878	0.2126864	0.9999460	0.0075822	0.0990668	0.4539840	0.0765156	0.9772643
150	0.6467250	0.1942857	1.0000000	0.0510386	0.0307294	0.0702491	0.4870263	0.3425001	0.0765247	0.0317308	0.3732040	0.9943993	0.0610286	0.1802034	0.9999376	0.0075299	0.0935114	0.4112636	0.0693387	0.9823682
200	0.6244461	0.1926767	1.0000000	0.0510386	0.0284943	0.0582248	0.4010761	0.3441378	0.0741407	0.0317272	0.3609195	0.9925683	0.0607740	0.1646464	0.9999266	0.0074940	0.0904349	0.3792098	0.0638642	0.9814805
250	0.6129564	0.1920954	1.0000000	0.0510385	0.0271882	0.0499567	0.3374357	0.3438331	0.0728958	0.0317254	0.3499229	0.9907887	0.0606267	0.1571834	0.9999169	0.0074735	0.0889615	0.3583785	0.0603033	0.9800705
300	0.6076346	0.1918853	1.0000000	0.0510385	0.0264963	0.0448863	0.2970852	0.3432370	0.0722915	0.0317245	0.3419380	0.9894119	0.0605514	0.1536490	0.9999099	0.0074629	0.0883094	0.3459200	0.0581871	0.9790270
350	0.6053270	0.1918094	1.0000000	0.0510385	0.0261526	0.0420100	0.2739223	0.3427720	0.0720117	0.0317242	0.3369176	0.9885209	0.0605158	0.1520041	0.9999057	0.0074578	0.0880344	0.3389473	0.0569993	0.9783987
400	0.6043682	0.1917820	1.0000000	0.0510385	0.0259896	0.0404704	0.2615047	0.3424801	0.0718865	0.0317240	0.3340702	0.9880156	0.0605000	0.1512521	0.9999033	0.0074555	0.0879222	0.3352683	0.0563580	0.9780619
450	0.6039813	0.1917721	1.0000000	0.0510385	0.0259149	0.0396836	0.2551783	0.3423143	0.0718319	0.0317240	0.3325733	0.9877549	0.0604931	0.1509137	0.9999021	0.0074544	0.0878774	0.3334239	0.0560211	0.9778948
500	0.6038283	0.1917685	1.0000000	0.0510385	0.0258815	0.0392964	0.2520828	0.3422254	0.0718087	0.0317239	0.3318303	0.9876293	0.0604903	0.1507637	0.9999016	0.0074540	0.0878598	0.3325382	0.0558476	0.9778164
550	0.6247906	0.2258813	1.0000000	0.0510385	0.0268896	0.0409885	0.2648000	0.2630223	0.0727603	0.0317283	0.3322049	0.9883679	0.0606611	0.3033799	0.9997965	0.0074733	0.0910982	0.3467801	0.0576392	0.5634593
600	0.6709055	0.2382064	1.0000000	0.0510385	0.0299859	0.0486929	0.3243449	0.2327492	0.0761142	0.0317364	0.3386271	0.9908626	0.0610841	0.3749712	0.9998119	0.0075279	0.0983593	0.3906110	0.0637801	0.5200282
650	0.7046058	0.2426596	1.0000000	0.0510385	0.0332107	0.0609850	0.4166617	0.2239818	0.0801148	0.0317416	0.3513552	0.9934016	0.0614357	0.4103331	0.9998437	0.0075801	0.1039029	0.4365227	0.0708424	0.5315971
700	0.7225385	0.2442685	1.0000000	0.0510385	0.0355376	0.0739194	0.5056454	0.2228803	0.0832567	0.0317441	0.3645389	0.9950544	0.0616459	0.4277239	0.9998676	0.0076151	0.1069617	0.4693735	0.0764927	0.5465967
750	0.7309358	0.2448498	1.0000000	0.0510385	0.0369370	0.0843933	0.5705529	0.2237914	0.0852278	0.0317453	0.3745265	0.9959451	0.0617545	0.4361228	0.9998817	0.0076349	0.1084235	0.4887404	0.0802826	0.5566532
800	0.7346195	0.2450599	1.0000000	0.0510385	0.0376925	0.0915058	0.6107674	0.2248413	0.0863077	0.0317458	0.3808743	0.9963891	0.0618061	0.4400969	0.9998891	0.0076450	0.1090697	0.4989714	0.0825796	0.5622775
850	0.7361715	0.2451358	1.0000000	0.0510385	0.0380726	0.0957849	0.6333067	0.2255918	0.0868496	0.0317460	0.3844869	0.9966023	0.0618294	0.4419409	0.9998928	0.0076499	0.1093421	0.5040217	0.0838853	0.5651581
900	0.7368069	0.2451632	1.0000000	0.0510385	0.0382544	0.0981479	0.6451190	0.2260473	0.0871056	0.0317460	0.3863927	0.9967023	0.0618394	0.4427813	0.9998946	0.0076521	0.1094532	0.5064032	0.0845964	0.5665545
950	0.7370616	0.2451731	1.0000000	0.0510385	0.0383382	0.0993734	0.6510135	0.2263013	0.0872214	0.0317461	0.3873434	0.9967481	0.0618437	0.4431583	0.9998954	0.0076530	0.1094976	0.5074894	0.0849721	0.5672045
1000	0.7371619	0.2451767	1.0000000	0.0510385	0.0383758	0.0999795	0.6538450	0.2264360	0.0872721	0.0317461	0.3877976	0.9967687	0.0618454	0.4433252	0.9998958	0.0076535	0.1095150	0.5079720	0.0851664	0.5674976

0	0.7372260	0.2451787	1.0000000	0.0510387	0.0384055	0.1005268	0.6563023	0.2265897	0.0873101	0.0317461	0.3881839	0.9967848	0.0618466	0.4434562	0.9998960	0.0076538	0.1095260	0.5083448	0.0853844	0.5677264
50	0.7372254	0.2451787	1.0000000	0.0510386	0.0384049	0.1005165	0.6562599	0.2265805	0.0873095	0.0317461	0.6433987	0.9967845	0.0618466	0.5388091	0.9999800	0.0076537	0.0490472	0.5083395	0.0853739	0.5677231
