"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA

0	0.4420696	0.1423523	0.7939933	0.0287023	0.0253760	0.1177692	0.3104913	0.1475050	0.0514842	0.0205247	0.2455644	0.6479475	0.0477594	0.3178005	0.7262636	0.0029476	0.1139328	0.3542001	0.0671520	0.4519684
50	0.5086624	0.1617659	0.6796537	0.0431391	0.0418517	0.0592860	0.4933455	0.2348265	0.0769473	0.0119720	0.2751883	0.6410060	0.0275238	0.3152509	0.7690353	0.0010924	0.1171458	0.3897226	0.0685854	0.6301728
100	0.6061003	0.1711877	0.8367804	0.0310907	0.0313071	0.0363563	0.3709646	0.1673075	0.0454707	0.0086501	0.3307076	0.7222780	0.0871193	0.3157051	0.7539651	0.0057896	0.1015885	0.3182828	0.0468906	0.5756533
150	0.4767190	0.1915388	0.6366299	0.0571271	0.0552377	0.0792936	0.3674621	0.2892165	0.0642625	0.0284175	0.3343814	0.6946814	0.0643353	0.1631724	0.7278568	0.0125327	0.0572031	0.2691799	0.0545949	0.7537076
200	0.4146946	0.1295423	0.6598782	0.0185214	0.0376122	0.0420820	0.2281079	0.1968415	0.0605840	0.0142787	0.2946567	0.6288160	0.0385333	0.1200270	0.7489423	0.0092747	0.0606721	0.2581920	0.0202203	0.6828380
250	0.3661603	0.1715318	0.7239974	0.0541887	0.0220626	0.0143354	0.2726261	0.2421342	0.0302144	0.0202661	0.2787643	0.6395659	0.0208777	0.1394692	0.5971546	0.0044149	0.0599525	0.1877417	0.0656605	0.6466193
300	0.3874709	0.1343717	0.7345182	0.0233748	0.0298263	0.0292399	0.1538794	0.2271898	0.0561511	0.0366266	0.3573163	0.6911501	0.0395942	0.1425663	0.7996332	0.0049127	0.0762174	0.3017969	0.0682294	0.7687219
350	0.3404405	0.1090349	0.8093705	0.0171998	0.0086896	0.0078132	0.1271866	0.2313824	0.0833251	0.0211138	0.2759083	0.7039117	0.0598092	0.0753576	0.7453482	0.0045620	0.0686480	0.1653498	0.0280755	0.6798009
400	0.3393736	0.1209476	0.7380641	0.0299892	0.0225536	0.0206510	0.1237777	0.2519175	0.0750037	0.0344659	0.2275216	0.6102184	0.0339204	0.0923529	0.7281524	0.0062056	0.0429820	0.1447366	0.0237963	0.6342778
450	0.3673846	0.1502620	0.7897047	0.0072728	0.0323231	0.0067213	0.0558125	0.3981950	0.0385425	0.0403833	0.2437811	0.5088622	0.0476823	0.0646623	0.7468614	0.0142324	0.0656493	0.0637909	0.0104078	0.7332041
500	0.5184297	0.1794020	0.8887358	0.0190363	0.0110861	0.0139554	0.0476580	0.2043717	0.0625880	0.0189154	0.2344456	0.5671992	0.0212842	0.0569129	0.7374810	0.0209764	0.0477949	0.1023312	0.0323503	0.7399731
550	0.4983409	0.1043651	0.6664291	0.0189244	0.0091547	0.0686653	0.1304763	0.1504234	0.0363044	0.0095857	0.1474726	0.6209425	0.0491603	0.1048714	0.6989206	0.0029240	0.0424411	0.1857341	0.0199411	0.5070045
600	0.5074783	0.1699423	0.7359653	0.0327286	0.0127616	0.0613325	0.2005984	0.3425377	0.0460102	0.0116063	0.2184716	0.7887015	0.0589622	0.2073758	0.7922645	0.0052649	0.0583646	0.2184506	0.0447903	0.4603213
650	0.5362641	0.1400925	0.7061653	0.0347788	0.0163570	0.0449802	0.2903199	0.1850851	0.0378876	0.0299110	0.3061497	0.7740470	0.0971246	0.2291554	0.6699490	0.0240403	0.0945848	0.3489610	0.0510585	0.3680076
700	0.4952603	0.1339805	0.6559671	0.0457043	0.0276678	0.0596248	0.2674250	0.1279571	0.0538741	0.0202672	0.2894565	0.7326782	0.0475126	0.2973699	0.7021391	0.0084034	0.0705963	0.3031181	0.0977773	0.4402483
750	0.5650374	0.1306935	0.5526498	0.0661842	0.0274399	0.0225110	0.3588801	0.2139395	0.0668855	0.0382242	0.3020365	0.7297514	0.0484760	0.3278146	0.7599378	0.0148323	0.0795862	0.2712280	0.0584218	0.3854805
800	0.4954236	0.1517975	0.6557957	0.0483765	0.0261256	0.0232075	0.2551746	0.1650971	0.0726523	0.0044975	0.2719567	0.7672946	0.0413132	0.2244992	0.8374843	0.0109547	0.0490584	0.4044065	0.0462874	0.3482965
