"Time"	relE	relB	hokD	alaS	ilvN

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0783894	0.9842382	0.1381846	0.9622320	0.9196682
100	0.0378008	1.0900282	0.0926300	0.9886467	1.1281385
150	0.0339484	1.0085373	0.1244651	0.9949047	1.1198066
200	0.0094803	0.9896670	0.1848365	1.0550236	1.0614329
250	0.0090827	1.0589377	0.3469242	0.9283292	1.0367285
300	0.0107094	0.9991732	0.2887685	0.9216613	1.1158703
350	0.0060638	1.0144583	0.4168816	0.9452309	1.1215066
400	0.0080586	0.9392501	0.4504564	1.0316708	0.8991679
450	0.0163984	0.8631269	0.4311872	0.9826422	0.9676297
500	0.0085076	0.9947748	0.3911733	0.9723861	0.9656944
550	0.0221947	1.0815268	0.3147929	1.0429354	1.0715466
600	0.0601429	0.9679573	0.2069857	0.9259402	1.0243249
650	0.1066605	0.9149903	0.1799504	0.9346713	0.9890847
700	0.0866394	0.9591766	0.1358226	0.9999406	1.0363319
750	0.0769448	0.9720440	0.1318228	0.9372124	1.0731909
800	0.0956878	0.9688800	0.0752940	1.1116086	1.0182235
850	0.1471056	1.0562115	0.0987664	0.9972873	0.9726137
900	0.1007737	1.0310430	0.0773437	1.0038286	0.9276830
950	0.1011425	1.0664043	0.0973968	1.0317662	0.9640324
1000	0.1004041	1.0875227	0.0875927	1.1135913	1.0560827

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0950452	0.9903808	0.1077545	0.9887858	0.9424085
100	0.0982038	1.0103882	0.0913328	0.9949367	1.0409000
150	0.0902978	0.9523673	0.1028918	0.9281820	0.9539173
200	0.0920403	0.9561500	0.0976287	0.9392252	1.0451107
250	0.0602538	1.0544997	0.1112494	0.9773357	1.0382755
300	0.0923275	1.0227836	0.1343521	0.9921200	0.9245375
350	0.1075377	0.9884456	0.1211215	1.0204466	1.0154708
400	0.1100197	0.9818805	0.1022974	1.0208294	0.9188339
450	0.0871619	1.0574951	0.1051320	1.0167542	1.0688074
500	0.0753811	0.9467636	0.1113027	1.0065014	0.8997956
550	0.0777794	0.9464817	0.1069839	1.0061298	0.9983656
600	0.0491353	1.0274774	0.1234011	0.9345814	0.9994111
650	0.0735311	0.8815020	0.1189018	0.8810998	0.9910860
700	0.0922566	1.0949763	0.1410344	0.9276018	0.9511592
750	0.0917523	1.0294108	0.0868352	1.0098043	1.0118219
