"Time"	relE	relB	hokD	alaS	ilvN

0	0.0792423	0.8348250	0.0731837	0.7180707	0.6643628
50	0.0554278	0.6440975	0.1084796	0.6636201	0.7890159
100	0.0315040	0.7161237	0.0871762	0.6672602	0.7616990
150	0.0179385	0.5971308	0.1195609	0.7761392	0.7142918
200	0.0054092	0.7116491	0.1713788	0.8277742	0.8456470
250	0.0031894	0.6938884	0.2215230	0.5743395	0.6920911
300	0.0191225	0.6826172	0.2328218	0.6301347	0.8481392
350	0.0022189	0.6056731	0.2573653	0.6443679	0.8096981
400	0.0031381	0.6179864	0.2776616	0.8080281	0.6200073
450	0.0053842	0.5743295	0.2666070	0.6684267	0.6590422
500	0.0093505	0.6682606	0.2371511	0.6804765	0.6571324
550	0.0173159	0.7751653	0.1996407	0.8439322	0.7163819
600	0.0477807	0.7053999	0.1527435	0.6186541	0.7567143
650	0.0950945	0.6156015	0.1290641	0.5598933	0.7682929
700	0.0666770	0.6600311	0.0728047	0.6507182	0.6952903
750	0.0436287	0.7768785	0.0992230	0.7547235	0.7539942
800	0.0528110	0.6323314	0.0489275	0.7485046	0.6793273
850	0.0717000	0.7698170	0.0569509	0.6253113	0.6914910
900	0.0674951	0.7906866	0.0692043	0.7391250	0.5881890
950	0.0510440	0.8267839	0.0498771	0.6836190	0.6481163
1000	0.0728389	0.7420359	0.0503025	0.7355086	0.7307474

0	0.0999531	0.6619239	0.0635407	0.5146716	0.6770563
50	0.0898972	0.8442287	0.0623090	0.6205912	0.6828145
100	0.0646200	0.6421483	0.0689139	0.7271522	0.7785323
150	0.0498815	0.7533540	0.0831842	0.7150818	0.6515833
200	0.0716497	0.6446612	0.0791635	0.6608474	0.7150324
250	0.0325490	0.7309617	0.0746682	0.7691350	0.7032340
300	0.0922170	0.6602483	0.0760941	0.6670180	0.7012893
350	0.0765423	0.7631222	0.0694160	0.7037880	0.6881693
400	0.0941493	0.6719602	0.0694344	0.6673157	0.5702094
450	0.0601097	0.5978123	0.0660979	0.6539034	0.7208815
500	0.0567054	0.7717379	0.0520205	0.6807425	0.6233264
550	0.0472126	0.6435371	0.0667932	0.6696937	0.6925595
600	0.0697994	0.6524645	0.0686885	0.6572192	0.7207836
650	0.0412933	0.5819406	0.1099845	0.5457770	0.7363497
700	0.0974694	0.7937184	0.0962539	0.7373156	0.5496189
750	0.0491479	0.7736488	0.0595796	0.6382383	0.7500908
800	0.0588553	0.6871212	0.0788106	0.7355056	0.6467270
850	0.0609417	0.6094035	0.1604700	0.6078132	0.7488996
900	0.0459400	0.7354746	0.0816590	0.6868898	0.6340634
950	0.0817541	0.7526314	0.0519901	0.6768531	0.7466141
1000	0.1057777	0.6182177	0.0837129	0.7097622	0.6567520

0	0.1091239	0.8001203	0.0649354	0.5773508	0.6734752
50	0.0691853	0.6850773	0.0373177	0.6291880	0.7529898
100	0.0986372	0.6230966	0.0535142	0.7315116	0.6807872
150	0.0512129	0.6653802	0.0122762	0.7513585	0.6420020
200	0.1037468	0.6686808	0.0267946	0.6524221	0.6991079
250	0.0668305	0.7361680	0.0070926	0.8359901	0.6526049
300	0.0612691	0.6759157	0.0233726	0.6884624	0.8462546
350	0.0512094	0.5436450	0.0220998	0.7397603	0.6806113
400	0.0351644	0.6723415	0.0092902	0.7877804	0.7375363
450	0.0528967	0.6533247	0.0104870	0.5990278	0.6726765
500	0.0644349	0.6113231	0.0369274	0.7757160	0.6197005
550	0.0970216	0.5002414	0.0786146	0.8053871	0.6805035
600	0.0589450	0.5257263	0.0389157	0.7803875	0.8258077
650	0.0641833	0.6809772	0.0994666	0.6895489	0.7359601
700	0.0983270	0.6455069	0.0842591	0.7006854	0.7877862
750	0.1019886	0.7195996	0.0542155	0.7728168	0.7209264
800	0.0974697	0.8927381	0.0921261	0.6103644	0.7388500
850	0.0752316	0.7766200	0.0446685	0.6627584	0.8332263
900	0.0758117	0.7936499	0.0575870	0.6634436	0.8948248
950	0.1064214	0.6737729	0.0605026	0.6908732	0.8605051
1000	0.0414976	0.7883983	0.0463321	0.5753174	0.8418955

0	0.0736505	0.7207847	0.0625566	0.6615148	0.6275986
50	0.0472653	0.7632385	0.0829164	0.6737363	0.4162899
100	0.0884005	0.6360050	0.1088888	0.7481494	0.1834439
