relE	relB	hokD	alaS	ilvN
0.0	0.0	0.0	0.0	-0.3070645034313202
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
-0.45184507709927857	-0.5845739638898522	0.0	0.0	-0.09674095804803073
0.0	0.0	0.0	0.0	-0.7268441200722009
-0.1875985038932413	-0.4868578442838043	0.0	0.0	0.0
-0.35279883816838264	-0.12865959270857275	0.0	0.0	-0.91047473391518
-0.05792857729829848	0.0	0.0	0.0	-0.8984850281849504
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	-0.44465178390964866
0.0	0.0	0.0	0.0	-0.9879268475342542
-0.8259312857408077	-0.06114516267552972	0.0	0.0	0.0
-0.9355779187753797	0.0	0.0	-0.06350341765210032	0.0
0.0	0.0	-0.30887252232059836	-0.8667862783186138	-0.17890648799948394
0.0	0.0	0.0	0.0	-0.7619917979463935
-0.6371711252722889	0.0	-0.5714223799295723	0.0	0.0
-0.12512394110672176	-0.1894009686075151	0.0	-0.8631677918601781	-0.4904576118569821
0.0	-0.373151620849967	0.0	0.0	-0.15621220762841403
-0.8156608091667295	0.0	0.0	0.0	-0.6204715960193425
0.0	-0.8288769526407123	-0.7811609669588506	-0.28075174055993557	0.0
0.0	0.0	0.0	-0.0832836995832622	0.0
0.0	-0.42002296075224876	-0.8117514427285641	-0.1339109840337187	-0.3676786159630865
0.0	0.0	0.0	-0.4511505279224366	-0.3303903036285192
0.0	0.0	0.0	0.0	0.0
-0.18735313531942666	-0.6780002203304321	0.0	-0.3227045447565615	0.0
0.0	-0.564499894855544	0.0	-0.8867611703462899	0.0
0.0	0.0	-0.8323761576320976	0.0	-0.9522649394348264
0.0	0.0	0.0	-0.602666495135054	-0.5202320420648903
-0.14448401192203164	0.0	0.0	0.0	0.0
0.0	0.0	-0.5334139266051352	-0.541249985806644	0.0
0.0	0.0	0.0	0.0	0.0
0.0	-0.3861413663253188	-0.1201803321018815	-0.6025028841104358	0.0
0.0	0.0	0.0	0.0	0.0
-0.3181931816507131	0.0	0.0	0.0	0.0
-0.8409305543173105	-0.29603729653172195	-0.7569706467911601	-0.4086701355408877	-0.5001238586846739
0.0	0.0	0.0	-0.8291728713084012	0.0
-0.36174223595298827	0.0	0.0	-0.8865818290505558	0.0
0.0	0.0	0.0	-0.6140897127334028	0.0
0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.31128737633116543	-0.8804050863254815	-0.9545940149109811
-0.9137244641315192	-0.8778060530312359	-0.9873862660024315	0.0	0.0
0.0	-0.27210599090904	0.0	0.0	0.0
-0.1403466514311731	0.0	0.0	-0.2555126629304141	-0.23559043696150184
0.0	0.0	0.0	-0.7123335462529212	0.0
-0.04186336533166468	-0.8056196309626102	-0.14545734459534287	0.0	-0.46150235435925424
0.0	0.0	0.0	0.0	0.0
0.0	0.0	-0.561345721129328	0.0	0.0
0.0	0.0	-0.758534056134522	0.0	0.0
0.0	0.0	-0.38784585427492857	0.0	0.0
-0.3829278312623501	0.0	0.0	0.0	-0.7556191110052168
