"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.1822917	0.7039451	0.5319897	0.6646597	0.3519425
50	0.2307418	0.2079469	0.5294167	0.6196963	0.3311111
100	0.2498481	0.2693682	0.3475986	0.5635336	0.4326499
150	0.3026877	0.1781635	0.3228313	0.6652665	0.2825420
200	0.3334217	0.2651487	0.3384304	0.6022025	0.3258553
250	0.2610384	0.2276001	0.3568056	0.5511517	0.3171980
300	0.3228451	0.1791524	0.4432168	0.6204939	0.2590754
350	0.2839079	0.2024999	0.3971648	0.5811656	0.1782398
400	0.3447255	0.2317681	0.3358107	0.6501935	0.2291609
450	0.3394851	0.2058636	0.3130605	0.6589364	0.2397817
500	0.3006541	0.2665358	0.2650078	0.5115557	0.2275925
550	0.3359167	0.5954292	0.4144371	0.7553509	0.3332281
600	0.1836352	0.6751968	0.4623396	0.6011272	0.3357834
650	0.2461231	0.6798373	0.5156411	0.8073308	0.3427391
700	0.1674417	0.7317643	0.4455235	0.5931643	0.3006243
750	0.2134365	0.7363812	0.4286482	0.6580848	0.5073289
800	0.2077914	0.6172918	0.5161529	0.6506045	0.3453166
850	0.1543372	0.6481531	0.4725114	0.6100727	0.4593636
900	0.1985900	0.7302128	0.5388847	0.6629353	0.3510445
950	0.1470525	0.6090328	0.5767945	0.6811200	0.3717595
1000	0.1157594	0.6696951	0.6461571	0.5963794	0.3987954

0	0.2564065	0.6153046	0.5513863	0.6396698	0.3836477
50	0.0601423	0.6762748	0.5781740	0.6399967	0.3850480
100	0.0929401	0.8299505	0.6345139	0.6317661	0.3615830
150	0.0378184	0.7101087	0.6428960	0.6314914	0.4154379
200	0.0718629	0.5754992	0.5392632	0.5301929	0.4129050
250	0.0786136	0.5672310	0.3698615	0.6107199	0.3755758
300	0.0883847	0.8629743	0.5691341	0.6603308	0.4032057
350	0.0627588	0.6754753	0.6626347	0.5771596	0.3278131
400	0.0762670	0.6389765	0.4745848	0.6128910	0.3682853
450	0.0559846	0.6934712	0.6231656	0.5198795	0.3915459
500	0.1180562	0.6474687	0.5353219	0.5328851	0.4081189
550	0.1294784	0.6540994	0.5464490	0.5630276	0.2833550
600	0.1987187	0.7183106	0.5645406	0.6512420	0.4155795
650	0.2226441	0.6482611	0.5740703	0.5654799	0.3619611
700	0.2015855	0.6733936	0.5180555	0.6016366	0.4016353
750	0.1539110	0.6185763	0.5467876	0.6509966	0.3713951
800	0.1662450	0.6228654	0.5346456	0.6794787	0.3741047
850	0.1606032	0.8488313	0.5203827	0.5757160	0.4141907
900	0.1825846	0.7371118	0.5592157	0.6387540	0.4322396
950	0.1967070	0.6652511	0.6129936	0.6047621	0.3446514
1000	0.1848787	0.7746168	0.4829906	0.7956207	0.3947692

