"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2710351	0.4163893	0.7190519	0.9183992	0.5345881
100	0.3491812	0.3172813	0.6297140	0.9133629	0.4922968
150	0.4266258	0.3004508	0.5359213	0.8936552	0.4171481
200	0.4759066	0.2975927	0.4787620	0.8637599	0.3623685
250	0.5002024	0.2971074	0.4549360	0.8407923	0.3417757
300	0.5105919	0.2970249	0.4478412	0.8288099	0.3381622
350	0.5147145	0.2970109	0.4465982	0.8237039	0.3391382
400	0.5162901	0.2970086	0.4467846	0.8217427	0.3404130
450	0.5168814	0.2970082	0.4471016	0.8210271	0.3411897
500	0.5171015	0.2970081	0.4473048	0.8207717	0.3415696
550	0.4288751	0.8806187	0.5189964	0.8850530	0.4485241
600	0.3190255	0.9797268	0.6336678	0.9194387	0.5386872
650	0.2712740	0.9965572	0.6975215	0.9233332	0.5502443
700	0.2536409	0.9994154	0.7263580	0.9217007	0.5470113
750	0.2472365	0.9999007	0.7384696	0.9202459	0.5442007
800	0.2448940	0.9999831	0.7433589	0.9194901	0.5428314
850	0.2440316	0.9999971	0.7452827	0.9191564	0.5422537
900	0.2437132	0.9999995	0.7460264	0.9190197	0.5420233
950	0.2435956	0.9999999	0.7463103	0.9189658	0.5419340
1000	0.2435521	1.0000000	0.7464178	0.9189451	0.5419000

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.1102158	1.0000000	0.7848314	0.9169017	0.5381618
100	0.0927324	1.0000000	0.7950092	0.9137765	0.5339361
150	0.0904395	1.0000000	0.7977658	0.9122763	0.5324118
200	0.0901388	1.0000000	0.7985205	0.9117490	0.5319694
250	0.0900994	1.0000000	0.7987280	0.9115860	0.5318489
300	0.0900942	1.0000000	0.7987852	0.9115390	0.5318170
350	0.0900935	1.0000000	0.7988010	0.9115261	0.5318087
400	0.0900934	1.0000000	0.7988053	0.9115227	0.5318066
450	0.0900934	1.0000000	0.7988066	0.9115218	0.5318061
500	0.0900934	1.0000000	0.7988069	0.9115216	0.5318060
550	0.2234042	1.0000000	0.7596760	0.9128904	0.5328701
600	0.2408876	1.0000000	0.7494335	0.9158883	0.5365910
650	0.2431805	1.0000000	0.7470691	0.9177806	0.5396888
700	0.2434812	1.0000000	0.7465837	0.9185588	0.5411339
750	0.2435206	1.0000000	0.7464954	0.9188218	0.5416525
800	0.2435258	1.0000000	0.7464824	0.9189016	0.5418149
850	0.2435265	1.0000000	0.7464815	0.9189243	0.5418619
900	0.2435265	1.0000000	0.7464819	0.9189304	0.5418748
950	0.2435266	1.0000000	0.7464821	0.9189320	0.5418782
1000	0.2435266	1.0000000	0.7464823	0.9189324	0.5418791

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2435266	1.0000000	0.7027614	0.9820663	0.5418861
100	0.2435266	1.0000000	0.6905613	0.9956476	0.5418811
150	0.2435266	1.0000000	0.6871569	0.9985695	0.5418798
200	0.2435266	1.0000000	0.6862069	0.9991981	0.5418795
250	0.2435266	1.0000000	0.6859418	0.9993333	0.5418795
300	0.2435266	1.0000000	0.6858678	0.9993624	0.5418794
350	0.2435266	1.0000000	0.6858471	0.9993687	0.5418794
400	0.2435266	1.0000000	0.6858414	0.9993700	0.5418794
450	0.2435266	1.0000000	0.6858398	0.9993703	0.5418794
