"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2525039	0.7365412	0.7369138	0.9187577	0.5395884
100	0.3025809	0.4899495	0.6786955	0.9169535	0.5173260
150	0.3768158	0.3734868	0.5887264	0.9072880	0.4597417
200	0.4405565	0.3261484	0.5136660	0.8854343	0.3955877
250	0.4805618	0.3079253	0.4714094	0.8602008	0.3569660
300	0.5012144	0.3010675	0.4537298	0.8412365	0.3424338
350	0.5106420	0.2985124	0.4481240	0.8302320	0.3394200
400	0.5146239	0.2975647	0.4469507	0.8247792	0.3398634
450	0.5162249	0.2972139	0.4469845	0.8223338	0.3407262
500	0.5168488	0.2970841	0.4471924	0.8213060	0.3413073
550	0.4847567	0.5604950	0.4748535	0.8439767	0.3838726
600	0.3848908	0.8070689	0.5728052	0.8897271	0.4889305
650	0.3085869	0.9235251	0.6582563	0.9126571	0.5366931
700	0.2703553	0.9708611	0.7066012	0.9194439	0.5460383
750	0.2540337	0.9890833	0.7295979	0.9203653	0.5452950
800	0.2475379	0.9959407	0.7396193	0.9199371	0.5436592
850	0.2450376	0.9984957	0.7437672	0.9194725	0.5426732
900	0.2440915	0.9994434	0.7454282	0.9191894	0.5422079
950	0.2437369	0.9997942	0.7460784	0.9190464	0.5420099
1000	0.2436046	0.9999239	0.7463291	0.9189808	0.5419300

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.1649649	1.0000000	0.7693504	0.9182814	0.5404507
100	0.1124607	1.0000000	0.7880088	0.9159445	0.5362731
150	0.0959029	1.0000000	0.7953441	0.9137381	0.5335237
200	0.0915145	1.0000000	0.7977631	0.9124720	0.5323763
250	0.0904309	1.0000000	0.7985027	0.9118916	0.5319802
300	0.0901723	1.0000000	0.7987200	0.9116566	0.5318564
350	0.0901117	1.0000000	0.7987824	0.9115687	0.5318200
400	0.0900976	1.0000000	0.7988001	0.9115374	0.5318098
450	0.0900944	1.0000000	0.7988051	0.9115267	0.5318070
500	0.0900936	1.0000000	0.7988065	0.9115232	0.5318062
550	0.1686599	1.0000000	0.7755335	0.9119074	0.5321492
600	0.2211604	1.0000000	0.7564744	0.9138536	0.5345350
650	0.2377173	1.0000000	0.7493083	0.9161304	0.5378560
700	0.2421055	1.0000000	0.7471885	0.9176423	0.5401354
750	0.2431891	1.0000000	0.7466415	0.9184043	0.5412314
800	0.2434477	1.0000000	0.7465143	0.9187326	0.5416624
850	0.2435083	1.0000000	0.7464877	0.9188609	0.5418118
900	0.2435223	1.0000000	0.7464828	0.9189079	0.5418595
950	0.2435256	1.0000000	0.7464822	0.9189243	0.5418738
1000	0.2435263	1.0000000	0.7464822	0.9189299	0.5418779

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2435313	1.0000000	0.7205286	0.9501777	0.5419141
100	0.2435277	1.0000000	0.6988311	0.9790554	0.5418887
150	0.2435268	1.0000000	0.6900818	0.9920270	0.5418819
200	0.2435266	1.0000000	0.6871381	0.9968824	0.5418801
250	0.2435266	1.0000000	0.6862231	0.9985577	0.5418796
300	0.2435266	1.0000000	0.6859503	0.9991108	0.5418795
350	0.2435266	1.0000000	0.6858709	0.9992887	0.5418794
400	0.2435266	1.0000000	0.6858482	0.9993449	0.5418794
450	0.2435266	1.0000000	0.6858417	0.9993625	0.5418794
500	0.2435266	1.0000000	0.6858399	0.9993680	0.5418794
550	0.2435266	1.0000000	0.7117892	0.9680835	0.5418794
600	0.2435266	1.0000000	0.7334896	0.9392353	0.5418794
650	0.2435266	1.0000000	0.7422396	0.9262724	0.5418794
700	0.2435266	1.0000000	0.7451834	0.9214195	0.5418794
750	0.2435266	1.0000000	0.7460984	0.9197449	0.5418794
800	0.2435266	1.0000000	0.7463712	0.9191921	0.5418794
850	0.2435266	1.0000000	0.7464506	0.9190143	0.5418794
900	0.2435266	1.0000000	0.7464733	0.9189581	0.5418794
950	0.2435266	1.0000000	0.7464798	0.9189405	0.5418794
1000	0.2435266	1.0000000	0.7464816	0.9189350	0.5418794

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2490064	0.8312267	0.7406581	0.8846274	0.5406276
100	0.2763099	0.6732586	0.7087656	0.8527441	0.5322644
150	0.3110868	0.5986519	0.6646493	0.8379938	0.5183563
200	0.3371538	0.5683266	0.6296570	0.8322422	0.5064569
250	0.3519698	0.5566528	0.6091265	0.8303014	0.5000232
300	0.3591290	0.5522596	0.5991026	0.8298150	0.4976330
350	0.3622608	0.5506228	0.5947476	0.8297922	0.4970732
