"Time"	gadX	torR	hdeA	hdeB	yhiD

0	0.1650508	0.5685585	0.4729247	0.6555244	0.3095983
50	0.1860664	0.4835389	0.4470985	0.5538387	0.3505951
100	0.2274316	0.3301752	0.6217032	0.7720591	0.3892060
150	0.2766248	0.2512713	0.5252951	0.7048043	0.3235266
200	0.3499064	0.2613465	0.3037171	0.5478831	0.3045512
250	0.2715049	0.2606556	0.3069119	0.5654251	0.3325230
300	0.3020093	0.2085419	0.3862625	0.5919734	0.2443366
350	0.3285969	0.2285052	0.2999789	0.5656376	0.2052371
400	0.2723190	0.2404523	0.2350412	0.5168580	0.2473823
450	0.3011887	0.2481699	0.2360706	0.5441954	0.2936025
500	0.4021204	0.1623191	0.2738330	0.7259790	0.2174259
550	0.2729909	0.4101777	0.2455680	0.6618352	0.3160574
600	0.2271254	0.5005202	0.4690020	0.5734460	0.3690312
650	0.1786228	0.5335124	0.4925103	0.5257891	0.3800859
700	0.1276737	0.6580825	0.4879612	0.5489088	0.4508632
750	0.2195047	0.5708477	0.3632706	0.7272016	0.4618146
800	0.1905367	0.5901151	0.4569640	0.6291050	0.4332215
850	0.2004750	0.6173280	0.5026696	0.7647094	0.5987777
900	0.1858357	0.7456063	0.4971294	0.7569314	0.3809970
950	0.1935201	0.7506904	0.4051975	0.6685163	0.4470442
1000	0.1232419	0.7614667	0.6579845	0.6226671	0.4457907

0	0.1881289	0.6682810	0.4936128	0.7400443	0.2702619
50	0.1143795	0.7268504	0.5079145	0.7256731	0.3642803
100	0.0794220	0.7180551	0.5622817	0.7188687	0.2901037
150	0.0792894	0.6887318	0.5230645	0.7563962	0.3197917
200	0.0697048	0.6415148	0.4978568	0.6756869	0.3507809
250	0.0877570	0.6093565	0.6664036	0.6747014	0.3694420
300	0.0563871	0.6450780	0.6424347	0.6333772	0.3872004
350	0.0914242	0.6948916	0.5682802	0.5589826	0.3599647
400	0.0668649	0.6411850	0.6682200	0.5060366	0.3656466
450	0.0523092	0.8031797	0.5400765	0.5501922	0.5020969
500	0.0478203	0.6657339	0.5499913	0.6467417	0.4161989
550	0.1084179	0.7262691	0.5549245	0.5616174	0.3942554
600	0.1921009	0.7689408	0.5905805	0.5971435	0.4126898
650	0.1684595	0.6845852	0.5721871	0.6376983	0.4838257
700	0.1922351	0.7028145	0.6064234	0.5592652	0.3873032
750	0.2198723	0.6213506	0.5422424	0.6730631	0.3925325
800	0.2075264	0.6322136	0.4354326	0.5999620	0.3749803
850	0.1290379	0.8257515	0.6425193	0.5983053	0.4800049
900	0.1595926	0.5906267	0.5737284	0.6478705	0.3950736
950	0.2013503	0.6923395	0.6270224	0.5950473	0.4126736
1000	0.1928732	0.7950184	0.4712829	0.6606706	0.4250188

0	0.1685406	0.6366114	0.4420426	0.6801963	0.3342806
50	0.2032841	0.5790735	0.5530672	0.7700596	0.3606072
100	0.1710845	0.6159132	0.4466563	0.7668500	0.3479644
150	0.1883381	0.8648505	0.3855874	0.7659442	0.3260608
200	0.1903215	0.7073597	0.4509105	0.6066627	0.3849716
250	0.2046466	0.6811403	0.4624155	0.5275077	0.3133430
300	0.1768487	0.5794545	0.5726083	0.7371340	0.3865531
350	0.1959571	0.6605829	0.4114110	0.6492143	0.3900490
400	0.1906551	0.6035860	0.4671823	0.7841903	0.3401613
450	0.1986466	0.6401254	0.3630939	0.6769168	0.3950334
500	0.2182028	0.6483164	0.3939245	0.6283644	0.3306062
550	0.1157875	0.7610649	0.3956791	0.5842869	0.4242525
600	0.1385801	0.6653780	0.4793234	0.5339390	0.3006959
650	0.1872492	0.7093588	0.4797822	0.7041920	0.3779651
700	0.1037343	0.6965071	0.5727463	0.6370471	0.2855535
750	0.1452551	0.6737358	0.4369097	0.7386354	0.2438903
800	0.1458931	0.6676999	0.6410216	0.6344698	0.3147895
850	0.1307775	0.7190386	0.4961233	0.5280895	0.2990170
900	0.1522175	0.7574801	0.4578962	0.6354742	0.3481541
950	0.2227978	0.7467174	0.5594707	0.6483550	0.3329991
1000	0.1636437	0.5865150	0.5510498	0.5726144	0.3809737

0	0.1777457	0.6473547	0.6274072	0.5344120	0.3133290
50	0.1718693	0.5331074	0.4966808	0.5280384	0.3772487
100	0.2628835	0.4309332	0.4268796	0.4910505	0.3845337
150	0.2063059	0.3720678	0.3919936	0.4834316	0.4337842
200	0.2542726	0.4041050	0.3525417	0.5377581	0.4272287
250	0.2248876	0.3317445	0.3686423	0.4613109	0.2974405
300	0.2070229	0.3274033	0.3795531	0.5958815	0.2615128
350	0.2247441	0.3175433	0.4236181	0.7019137	0.4563409
400	0.2023760	0.4957130	0.3831341	0.5932214	0.3824644
450	0.2003693	0.4128300	0.4964001	0.5127941	0.3189250
500	0.2725674	0.3987209	0.4981962	0.4804880	0.4620158
550	0.2195481	0.5286480	0.4225159	0.5619200	0.3544320
600	0.1568999	0.5612816	0.5071339	0.6409970	0.3074487
650	0.1568238	0.7904487	0.3514201	0.6582007	0.3756682
700	0.1565858	0.7071483	0.6424320	0.5754621	0.3531261
750	0.1582927	0.6641943	0.5039339	0.6848299	0.4607272
800	0.1312612	0.6622060	0.5411889	0.6745241	0.3572412
850	0.1709242	0.6247651	0.4232080	0.6790825	0.3291210
900	0.1726891	0.7080160	0.4948646	0.6917979	0.3171510
950	0.1407940	0.7676387	0.5281189	0.6762508	0.3637153
1000	0.1715194	0.6933696	0.6046842	0.6948797	0.3836087

0	0.1640479	0.5692731	0.4865533	0.8379245	0.2841160
50	0.1957100	0.4280607	0.4580188	0.5017958	0.5580360
100	0.3066428	0.3161491	0.4523644	0.6198221	0.5745581
150	0.3242220	0.3062342	0.4387105	0.6974623	0.6649099
200	0.3601287	0.1809617	0.4294818	0.6956161	0.5697145
250	0.3811341	0.1443061	0.3816197	0.6345741	0.5428848
300	0.4193630	0.1382030	0.3534322	0.5383859	0.5879644
350	0.4220484	0.1078744	0.2490414	0.4241651	0.4579303
400	0.4490302	0.1083339	0.3218211	0.5040987	0.5617300
450	0.4011401	0.1736818	0.2827510	0.4316924	0.4266073
500	0.3350776	0.2030579	0.2944305	0.4764941	0.6630403
550	0.4528712	0.3517637	0.3475522	0.3975839	0.3819396
600	0.2776520	0.4954147	0.4638231	0.5552705	0.4030764
650	0.1807490	0.6691017	0.5148338	0.6050881	0.3761658
700	0.1863126	0.7982752	0.5758795	0.6338139	0.4222911
750	0.1315078	0.6603136	0.5001213	0.5145528	0.3643299
800	0.1262358	0.7614696	0.5472313	0.7478062	0.4507275
850	0.1041583	0.8634727	0.5560537	0.6767718	0.3747574
900	0.1734546	0.6797102	0.4737329	0.6153345	0.3677427
950	0.1387293	0.8650563	0.6153744	0.7088022	0.3337880
1000	0.1631731	0.6442706	0.5245777	0.6353692	0.4053050

0	0.2030491	0.6378844	0.5270730	0.7638058	0.3322594
50	0.1684224	0.6598127	0.4834996	0.6829567	0.4078791
100	0.1638812	0.6561237	0.4873778	0.6422489	0.4329841
150	0.1053798	0.7887838	0.4894345	0.6585979	0.5442498
200	0.1224342	0.7385147	0.4843071	0.8887227	0.5566331
250	0.1118302	0.7102100	0.5843140	0.5787012	0.5832753
300	0.1319852	0.7446506	0.5712050	0.7657796	0.5441789
350	0.1578815	0.6665101	0.4717094	0.7066946	0.5948072
400	0.1957959	0.6230411	0.4418036	0.6537169	0.5097102
450	0.1233203	0.5920913	0.4263498	0.6685561	0.5675828
500	0.1182862	0.6742554	0.5001532	0.7562946	0.4936371
550	0.1234355	0.7824843	0.4700445	0.6200044	0.4280026
600	0.1037448	0.7458327	0.4804061	0.6710720	0.3967826
650	0.1217371	0.6897521	0.4876265	0.6290218	0.4110788
700	0.1842224	0.7232598	0.5408182	0.7970522	0.2863293
750	0.1279623	0.7144367	0.3958717	0.7770519	0.4197984
800	0.2090416	0.6254547	0.5098973	0.6414484	0.3769377
850	0.1745619	0.5392748	0.5505706	0.7657054	0.3923340
900	0.2047623	0.5807713	0.5675238	0.7176869	0.3523189
950	0.1749788	0.6046536	0.5203071	0.6515012	0.3867967
1000	0.1372349	0.8220843	0.5197376	0.6305200	0.3976367

0	0.1729427	0.5362689	0.4805423	0.8270547	0.2603836
50	0.1529714	0.7076773	0.5896602	0.6175233	0.4435993
100	0.1735199	0.7022973	0.6160049	0.5263802	0.3716088
150	0.1838752	0.7312871	0.5216332	0.5617232	0.4975843
200	0.1666159	0.7700442	0.5733862	0.6042266	0.3446556
250	0.1422132	0.6707460	0.5208446	0.6143717	0.4938022
300	0.1124798	0.7237881	0.5322023	0.6306197	0.3759338
350	0.1802600	0.6757585	0.7027857	0.7090786	0.4338875
400	0.2249480	0.5470207	0.6691198	0.6938530	0.3286526
450	0.2153484	0.7012907	0.5357620	0.5427371	0.4313376
500	0.1801891	0.6486654	0.4581339	0.6762965	0.5028442
550	0.1724708	0.6599585	0.6158301	0.6585344	0.3871019
600	0.2542298	0.6598254	0.4932408	0.6546438	0.3390205
650	0.1720894	0.6735211	0.4685450	0.4875354	0.3376373
700	0.2573477	0.7485959	0.6410083	0.6059754	0.4255042
750	0.1666919	0.8267094	0.5430253	0.6795957	0.3133636
800	0.1112257	0.6598868	0.4324611	0.6839528	0.4184294
850	0.1728454	0.5820086	0.5759917	0.6942459	0.3443950
900	0.2563070	0.5867606	0.4671825	0.5201705	0.4683682
950	0.1841757	0.6762970	0.5811767	0.6584406	0.3923434
1000	0.1899020	0.6390682	0.5462193	0.5207562	0.3725873

0	0.2236140	0.7049886	0.5529612	0.8012102	0.3089665
50	0.1086731	0.5564158	0.4888113	0.5096217	0.3815895
100	0.2190690	0.2141860	0.4588880	0.5102667	0.4377449
150	0.2444852	0.0923451	0.4232040	0.5233331	0.2320381
200	0.4597968	0.0632808	0.3446893	0.2886295	0.1525302
250	0.4736426	0.1076784	0.2538319	0.2537044	0.0832212
300	0.4721431	0.0788311	0.2309565	0.2831108	0.1596619
350	0.4532326	0.0808575	0.3088075	0.2756721	0.1586646
400	0.4183680	0.0799836	0.2362691	0.2818297	0.1108811
450	0.4789635	0.0535691	0.2293303	0.2886178	0.1267519
500	0.5032908	0.0707044	0.2046959	0.3624596	0.1931765
550	0.4052795	0.3376914	0.2756262	0.3906704	0.1946646
600	0.3618967	0.6278257	0.2969990	0.6730548	0.3115307
650	0.3069237	0.6223592	0.4447617	0.5375506	0.4223203
700	0.1868529	0.6204235	0.5536824	0.6463767	0.4077876
750	0.1504168	0.5972202	0.5217607	0.6018287	0.3524041
